k-core Decomposition Results
Execution time: 0.000 seconds
Max core number: 11

Node	Core_Number
1	11
2	11
3	11
4	11
5	11
6	11
7	11
8	11
9	11
10	11
11	11
12	11
13	9
14	9
15	9
16	9
17	9
18	9
19	9
20	9
21	9
22	9
23	7
24	7
25	7
26	7
27	7
28	7
29	7
30	7
31	7
32	7
33	7
34	7
35	7
36	7
37	7
38	7
39	5
40	5
41	5
42	5
43	5
44	5
45	5
46	5
47	5
48	5
49	5
50	5
51	4
52	4
53	4
54	4
55	4
56	4
57	4
58	4
59	4
60	4
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
